Topic	Doc_ID	Title	words
-1	410	Advancing the Use of an Analytical Hierarchy Process and Improved Random Indexes for Making Prioritized Decisions in Systems	health care study research used
-1	411	Microbiota as Drivers and as Therapeutic Targets in Ocular and Tissue Specific Autoimmunity	health care study research used
-1	412	VEXAS syndrome: a case series from a single-center cohort of Italian patients with vasculitis.	health care study research used
24	413	Essential Roles for RNA in Shaping Nuclear Organization	cell cells cancer tumor survival
8	414	Mechanistic grain growth model for fresh and irradiated UO2 nuclear fuel	alloys alloy corrosion grain material
-1	415	Farm-Level Impacts of Greenhouse Gas Reductions for the Predominant Production Systems in Northern Nigeria	health care study research used
9	416	Interpreting Image Classifiers by Generating Discrete Masks.	learning network image deep neural
25	417	Accelerated distributed model predictive control for HVAC systems	control optimization optimal problem tracking
-1	418	Zoning and segregation in urban economic history	health care study research used
-1	419	Heart Rate Dynamics During Acute Recovery From Maximal Aerobic Exercise in Young Adults.	health care study research used
-1	420	Antibody Responses to Epstein-Barr Virus in the Preclinical Period of Rheumatoid Arthritis Suggest the Presence of Increased Viral Reactivation Cycles.	health care study research used
-1	421	Understanding the impact of the COVID-19 pandemic on stress, mood, and substance use among young adults in the greater Minneapolis-St. Paul area: Findings from project EAT.	health care study research used
23	422	Weight status of rural school youth in Poland: secular change 1986-2016.	pulmonary heart ventricular af ecmo
-1	423	Synthesis of pristine graphene-like behaving rGO thin film: Insights into what really matters	health care study research used
5	424	Minimizing Root-Mean-Square Linear Distortion in Common Conformal Map Projections	surface italic satellite ocean observations
-1	425	Optimal Nonlinear Pricing by a Dominant Firm under Competition	health care study research used
-1	426	Safety and efficacy of a home nasogastric monitoring program for premature infants.	health care study research used
5	427	The role of peat on permafrost thaw based on field observations	surface italic satellite ocean observations
16	428	The rat rotenone model reproduces the abnormal pattern of central catecholamine metabolism found in Parkinson's disease.	pd ad cognitive alzheimer brain
4	429	Condition of resident fish communities in the Eighteenmile Creek Area of Concern, New York	species fish fisheries marine diversity
34	430	Iterative Prediction-and-Optimization for E-Logistics Distribution Network Design	marketing externality entry price consumer
5	431	Controls on seasonal erosion behavior and potential increase in sediment evacuation in the warming Tibetan Plateau	surface italic satellite ocean observations
-1	432	Autism-linked gene FoxP1 selectively regulates the cultural transmission of learned vocalizations	health care study research used
15	433	Prevention of Incident and Recurrent Major Depression in Older Adults With Insomnia: A Randomized Clinical Trial.	sleep osa apnea cbt insomnia
5	434	The north polar basal unit of Mars: An Amazonian record of surface processes and climate events	surface italic satellite ocean observations
-1	435	Prescribing Psychotropic Medications in Primary Care: Pediatric Resident Perspectives on Training and Practice	health care study research used
15	436	Resolving delayed sleep-wake phase disorder with a pandemic: two case reports.	sleep osa apnea cbt insomnia
-1	437	Nesting common eiders ( Somateria mollissima ) show little behavioral response to fixed-wing drone surveys	health care study research used
24	438	Distinguishing AML from MDS: a fixed blast percentage may no longer be optimal.	cell cells cancer tumor survival
5	439	Knowledge-Aided InSAR Phase Unwrapping Approach	surface italic satellite ocean observations
-1	440	Emotional Variability and Inertia in Daily Life: Links to Borderline Personality and Depressive Symptoms.	health care study research used
31	441	Transit Planning Optimization Under Ride-Hailing Competition and Traffic Congestion	transit traffic vehicle travel transportation
-1	442	Willingness to Treat with Therapies of Unknown Effectiveness in Severe COVID-19: A Survey of Intensivist Physicians.	health care study research used
23	443	Effects of Ashwagandha (Withania somnifera) on Physical Performance: Systematic Review and Bayesian Meta-Analysis.	pulmonary heart ventricular af ecmo
-1	444	A Systematic Review of the Effectiveness of Pressure Relieving Cushions in Reducing Pressure Injury.	health care study research used
35	445	The Consequences of Student Loan Credit Expansions: Evidence From Three Decades of Default Cycles	financial banks monetary debt stock
-1	446	Supporting COVID-19 School Safety for Children With Disabilities and Medical Complexity.	health care study research used
-1	447	Facilitative lysosomal transport of bile acids alleviates ER stress in mouse hematopoietic precursors.	health care study research used
-1	448	A pilot study towards a smart-health framework to collect and analyze biomarkers with low-cost and flexible wearables at a smart and connected community	health care study research used
-1	449	An Investigation into the Impact of COVID-19 on the Relationships Between Parents of Children Diagnosed with Cystic Fibrosis and the Cystic Fibrosis Multi-Disciplinary Team	health care study research used
11	450	Advances in the HCl gas-phase electrolysis employing an oxygen-depolarized cathode	films charge hydrogen materials electron
-1	451	A Cloud-Based Computing Framework for Artificial Intelligence Innovation in Support of Multidomain Operations	health care study research used
28	452	Madelung’s Deformity	fracture fractures fixation trauma injuries
3	453	Asymmetric Evolution of Transposable Elements in Brassica oleracea	plant plants species isolates cultivars
9	454	Machine learning with convolutional neural networks for clinical cardiologists.	learning network image deep neural
5	455	Variabilidad temporal de la isla de calor urbana de la ciudad de Zaragoza (España)	surface italic satellite ocean observations
6	456	Smooth implicit hybrid upwinding for compositional multiphase flow in porous media	numerical heat boundary order flow
24	457	Deficiency of lncRNA SNHG12 impairs ischemic limb neovascularization by altering an endothelial cell cycle pathway.	cell cells cancer tumor survival
26	458	Neumotórax espontáneo primario no asociado a ventilación mecánica invasiva en pacientes con neumonía por COVID-19. Presentación de 2 casos	covid 19 sars cov infection
24	459	Vemurafenib acts as molecular on-off switch governing systemic inflammation in Langerhans cell histiocytosis.	cell cells cancer tumor survival
31	460	The use of geosynthetics in roads	transit traffic vehicle travel transportation
-1	461	EXPRESS: Working Memory Capacity and Dual Mechanisms of Cognitive Control: An Experimental-Correlational Approach.	health care study research used
26	462	Knowledge, Attitudes, and Practices Related to Rocky Mountain Spotted Fever in Hermosillo, México.	covid 19 sars cov infection
24	463	Cancer associated fibroblast subpopulations with diverse and dynamic roles in the tumor microenvironment	cell cells cancer tumor survival
28	464	Bridge Plating Technique for a Cuboid Fracture-Dislocation with Associated Lisfranc Injury in the Setting of High Energy Trauma: A Case Report	fracture fractures fixation trauma injuries
-1	465	A High-Isolation 26.5–36.2-GHz T/R Duplexer Module on 0.18-μm BiCMOS for 5G Systems	health care study research used
-1	466	Practical Recommendations on Quantifying and Interpreting Treatment Effects in the Presence of Terminal Competing Risks: A Review	health care study research used
-1	467	Fair Top-k Ranking with multiple protected groups	health care study research used
29	468	Advances in Environmental Engineering and Green Technologies - Customer Perception and Awareness of Green Banking Practices: An Alternative Strategy of Environmental Sustainability	environmental sustainability tourism bioeconomy sports
24	469	Leukaemic relapse of anaplastic large cell lymphoma, ALK negative.	cell cells cancer tumor survival
24	470	Advanced-stage Hodgkin lymphoma: have effective therapy and modern imaging changed the significance of bulky disease?	cell cells cancer tumor survival
30	471	Taskflow: A Lightweight Parallel and Heterogeneous Task Graph Computing System	security privacy computing attacks communication
21	472	Distributed Cooperative Control of Battery Energy Storage Systems in DC Microgrids	power energy load voltage proposed
0	473	Veering triangulations and the Thurston norm: Homology to isotopy	prove theorem vertex algebra graphs
26	474	Tracking COVID-19 using online search	covid 19 sars cov infection
17	475	Effects of electroacupuncture on pain sensation in a rat model of hyperalgesia with nicotine dependence	opioid alcohol use cud oud
24	476	Ruxolitinib for the treatment of chronic GVHD and overlap syndrome in children and young adults.	cell cells cancer tumor survival
-1	477	Modified strict sperm morphology threshold aids in the clinical selection of conventional in vitro fertilization (IVF) or intracytoplasmic sperm injection (ICSI).	health care study research used
-1	478	The Application of the Blockchain Technology in Voting Systems: A Review	health care study research used
-1	479	Continue Moving Forward on the Affordable Care Act Path	health care study research used
7	480	Seismic demand and capacity models, and fragility estimates for underground structures considering spatially varying soil properties	concrete asphalt seismic soil masonry
-1	481	A Trans-Agency Workshop on the Pathophysiology of Radiation-Induced Lung Injury.	health care study research used
30	482	The MODFLOW Application Programming Interface for simulation control and software interoperability	security privacy computing attacks communication
0	483	Paramodular forms coming from elliptic curves	prove theorem vertex algebra graphs
0	484	Uniform Rectifiability, Elliptic Measure, Square Functions, and ε-Approximability Via an ACF Monotonicity Formula	prove theorem vertex algebra graphs
-1	485	Multiscale Data-driven Seismic Full-waveform Inversion with Field Data Study	health care study research used
-1	486	Screencasts as a way to enhance online learning environments in nursing	health care study research used
-1	487	Isolation of Natural DNA Aptamers for Challenging Small-Molecule Targets, Cannabinoids.	health care study research used
-1	488	Improving Timeliness of Antibiotic Administration Using a Provider and Pharmacist Facing Sepsis Early Warning System in the Emergency Department Setting: A Randomized Controlled Quality Improvement Initiative.	health care study research used
4	489	Beached Sargassum alters sand thermal environments: Implications for incubating sea turtle eggs	species fish fisheries marine diversity
5	490	The variable absorption in the X-ray spectrum of GRB 190114C	surface italic satellite ocean observations
-1	491	Systemic lupus erythematosus symptom clusters and their association with patient-reported outcomes and treatment: Analysis of real-world data.	health care study research used
-1	492	Using mastoid vibration can detect the uni/bilateral vestibular deterioration by aging during standing.	health care study research used
23	493	Recent Advances in the Development of Type 2 Sodium-Glucose Cotransporter Inhibitors for the Treatment of Type 2 Diabetes Mellitus.	pulmonary heart ventricular af ecmo
29	494	Intergenerational transmission of environmental household practices among South Korean families: continuity and change	environmental sustainability tourism bioeconomy sports
0	495	Asymptotics of the minimum values of Riesz and logarithmic potentials generated by greedy energy sequences on the unit circle	prove theorem vertex algebra graphs
3	496	The agent associated with blue dwarf disease in wheat represents a new phytoplasma taxon, 'Candidatus Phytoplasma tritici'.	plant plants species isolates cultivars
35	497	Shadow of the colossus: Euro area spillovers and monetary policy in Central and Eastern Europe	financial banks monetary debt stock
5	498	Nonstationary local slope estimation via forward-backward space derivative calculation	surface italic satellite ocean observations
1	499	Inactivation of inoculated Salmonella and natural microflora on two kinds of edible seeds by radio frequency heating combined with cinnamon oil vapor	milk cows beef production semen
21	500	A fuzzy logic energy management system of on-grid electrical system for residential prosumers	power energy load voltage proposed
38	501	Anti-Black practices take heavy toll on mental health.	students chapter jats education student
-1	502	Sex Differences in Spotted Hyenas.	health care study research used
-1	503	Best Practices for Authentication of Cell Lines to Ensure Data Reproducibility and Integrity.	health care study research used
-1	504	Effect of edible coating on physical and chemical properties of potato tubers under different storage conditions	health care study research used
24	505	Pathology updates and diagnostic approaches to hemophagocytic lymphohistiocytosis.	cell cells cancer tumor survival
-1	506	Successful GaAlAs low-level laser therapy of self-inflicted thermal burns of the palate.	health care study research used
-1	507	Parental Anti-Smoking Encouragement as a Longitudinal Predictor of Young Adult Cigarette and E-cigarette Use in a US National Study	health care study research used
32	508	I-PSI: Short- and Long-Term Efficacy of a Comprehensive Initiative to Promote Patient Safety Event Reporting by Trainees.	nurses care burnout staff nurse
-1	509	Can we define a unique microscopic pressure in inhomogeneous fluids	health care study research used
5	510	Root Zone Soil Moisture Comparisons: AirMOSS, SMERGE, and SMAP	surface italic satellite ocean observations
-1	511	Maternal diet in pregnancy and child's respiratory outcomes: an individual participant data meta-analysis of 18 000 children.	health care study research used
23	512	Interventional Management of Chronic Thromboembolic Pulmonary Hypertension.	pulmonary heart ventricular af ecmo
9	513	Application of Deep Learning for Diagnosing, Classifying, and Treating Age-Related Macular Degeneration.	learning network image deep neural
-1	514	Laminin-111 Enriched Fibrin Hydrogels Enhance Functional Muscle Regeneration Following Trauma	health care study research used
12	515	Is There a Role for Prone Computed Tomography Prior to Percutaneous Nephrolithotomy	retinal eye eyes vision oct
21	516	A Mathematical Design Approach to Volumetric Optimization of EMI Filter and Modeling of CM Noise Sources in a Three-Phase PFC	power energy load voltage proposed
3	517	Candidatus Liberibacter: From Movement, Host Responses, to Symptom Development of Citrus HLB.	plant plants species isolates cultivars
13	518	Fetal myocardial deformation measured with 2D-STE: longitudinal prospective cohort study in 124 healthy fetuses.	fetal ultrasound placenta pas placental
13	519	Syncytiotrophoblast stress in preeclampsia: the convergence point for multiple pathways.	fetal ultrasound placenta pas placental
24	520	Neoadjuvant Chemotherapy and Whole Ventricular Irradiation for Pure Intracranial Germinoma: A Comparison of Three Brain-Sparing Techniques.	cell cells cancer tumor survival
24	521	Excess heme upregulates heme oxygenase 1 and promotes cardiac ferroptosis in mice with sickle cell disease.	cell cells cancer tumor survival
-1	522	β3-adrenergic receptor downregulation leads to adipocyte catecholamine resistance in obesity	health care study research used
-1	523	Diagnosing nuclear power plant pipe wall thinning due to flow accelerated corrosion using a passive, thermal non-destructive evaluation method: Feasibility assessment via numerical experiments	health care study research used
14	524	An ensemble hybrid feature selection method for neuropsychiatric disorder classification	brain neurofeedback eeg functional tms
-1	525	Healthcare resource utilization (HCRU), costs, and mortality in relation to select immune-related adverse events (irAEs) and line of therapy (LOT) in patients (pts) with advanced or metastatic urothelial cancer (UC) treated with immune checkpoint inhibitor (ICI) monotherapy.	health care study research used
26	526	The Effect of physical therapy on impairments in COVID-19 patients from intensive care to home rehabilitation: A rapid review.	covid 19 sars cov infection
-1	527	Patient Preferences for Outcomes Following DCIS Management Strategies: A Discrete Choice Experiment.	health care study research used
23	528	De Novo Human Leukocyte Antigen Allosensitization in Heartmate 3 Versus Heartmate II Left Ventricular Assist Device Recipients.	pulmonary heart ventricular af ecmo
6	529	A Modified Fractional-Order Derivative Zener Model for Rubber-Like Devices for Structural Control	numerical heat boundary order flow
4	530	Assessing the Present and Future Habitat Suitability of Caligus rogercresseyi (Boxshall and Bravo, 2000) for Salmon Farming in Southern Chile	species fish fisheries marine diversity
30	531	Blockchain-based Recommender Systems: Applications, Challenges and Future Opportunities.	security privacy computing attacks communication
-1	532	COVID-19 in Solid Organ Transplantation: Disease Severity and Clinical Update.	health care study research used
26	533	Cross-border malaria in Northern Brazil	covid 19 sars cov infection
26	534	A Two-sided Incentive Program for Coordinating the Influenza Vaccine Supply Chain	covid 19 sars cov infection
-1	535	Mobilization of Resources and Emergency Response on the National Scale	health care study research used
17	536	Similarities in alcohol and opioid withdrawal syndromes suggest common negative reinforcement mechanisms involving the interoceptive antireward pathway	opioid alcohol use cud oud
-1	537	Rural-Urban Differences in Neuroimmune Biomarkers and Health Status Among Women Living With Breast Cancer.	health care study research used
-1	538	Is the Occupational Depression Inventory predictive of cognitive performance? A focus on inhibitory control and effortful reasoning	health care study research used
-1	539	Estimating hybridization in the wild using citizen science data: a path forward	health care study research used
-1	540	Displayed Depression Symptoms on Facebook at Two Time Points: Content Analysis.	health care study research used
-1	541	Wearable Microwave Imaging Sensor for Deep Tissue Real-Time Monitoring Using a New Loss-Compensated Backpropagation Technique	health care study research used
24	542	Subtype-specific and co-occurring genetic alterations in B-cell non-Hodgkin lymphoma.	cell cells cancer tumor survival
23	543	Survival on Venoarterial Extracorporeal Membrane Oxygenation in Cardiogenic Shock: Which Lactate Is Most Useful?	pulmonary heart ventricular af ecmo
-1	544	Probing Osteocyte Functions in Gelatin Hydrogels with Tunable Viscoelasticity.	health care study research used
23	545	Multicentre comparative analysis of long-term outcomes after aortic valve replacement in children.	pulmonary heart ventricular af ecmo
3	546	First Report of Brown Spot on White Button Mushroom (Agaricus bisporus) Caused by Cedecea neteri in Iran	plant plants species isolates cultivars
25	547	Generalized Empirical Regret Bounds for Control of Renewable Energy Systems in Spatiotemporally Varying Environments	control optimization optimal problem tracking
36	548	Architectural Search and Innovation	innovation firm firms organizational entrepreneurs
14	549	Test-Retest Reliability of Event-Related Potentials Across Three Tasks	brain neurofeedback eeg functional tms
-1	550	Neurocysticercosis in Children.	health care study research used
-1	551	Accountability and Inclusion in Customary Institutions: Evidence from a Village-Level Experiment in Zimbabwe	health care study research used
-1	552	Cognitive and psychosocial effects of an acute sun salutation intervention among adults with stress	health care study research used
9	553	Scalable graph neural network-based framework for identifying critical nodes and links in complex networks	learning network image deep neural
-1	554	Adaptive Preventive Maintenance for Flow Shop Scheduling With Resumable Processing	health care study research used
-1	555	Using a modified PAP/RAC model and GIS-for mapping water erosion and causal risk factors: Case study of the Asfalou watershed, Morocco	health care study research used
7	556	Performance Evaluation of a Highway Slope on Expansive Soil in Mississippi	concrete asphalt seismic soil masonry
3	557	Identification of a major QTL for Hessian fly resistance in wheat cultivar ‘Chokwang’	plant plants species isolates cultivars
24	558	Retraction: Convenient synthesis of pyrimidine 2′-deoxyribonucleoside monophosphates with important epigenetic marks at the 5-position	cell cells cancer tumor survival
-1	559	Hepatotoxicity during legacy cancer chemotherapy in patients infected with hepatitis C virus: A retrospective cohort study	health care study research used
9	560	Hierarchical Human Semantic Parsing with Comprehensive Part-Relation Modeling.	learning network image deep neural
25	561	Set-Theoretic Failure Mode Reconfiguration for Stuck Actuators	control optimization optimal problem tracking
24	562	Signatures of GVHD and Relapse after Post-Transplant Cyclophosphamide Revealed by Immune Profiling and Machine Learning.	cell cells cancer tumor survival
37	563	Adapting Interprofessional Acute Care Simulations to a Virtual Platform	medical education nursing students simulation
34	564	Exploring the Competitive Dimension of Omnichannel Retailing	marketing externality entry price consumer
32	565	Quality Performance of a Transfer Center Reduces Interhospital Transfer and Direct Admission-Related ED Evaluations.	nurses care burnout staff nurse
17	566	Opting into the Public List of DATA-Waivered Practitioners: Variations by Specialty, Treatment Capacity, and Practitioner Characteristics	opioid alcohol use cud oud
8	567	Thermal Analysis of the Solidification Behavior of AA7075 Containing Nanoparticles	alloys alloy corrosion grain material
20	568	Development of A Blood-Based Transcriptional Risk Score for Chronic Obstructive Pulmonary Disease	lung copd asthma fibrosis airway
-1	569	A Bayesian Latent Variable Selection Model for Nonignorable Missingness.	health care study research used
3	570	First Report of Crown Rot of Banana Caused by Fusarium porliferatum in Georgia, USA.	plant plants species isolates cultivars
-1	571	Modeling Defender-Attacker Problems as Robust Linear Programs with Mixed-Integer Uncertainty Sets	health care study research used
-1	572	Sparse Coding-enabled Low-fluence Multi-parametric Photoacoustic Microscopy	health care study research used
1	573	Effect of atmospheric pressure cold plasma treatment time and composition of feed gas on properties of skim milk	milk cows beef production semen
24	574	KAT6A and ENL form an epigenetic transcriptional control module to drive critical leukemogenic gene expression programs.	cell cells cancer tumor survival
9	575	YOLACT++: Better Real-time Instance Segmentation.	learning network image deep neural
-1	576	Perioperative Emergencies: Who, What, When, Where, Why?	health care study research used
2	577	Diagenesis and reservoir quality of Cambrian carbonates in the Tarim Basin, northwestern China	mantle rocks zircon ma minerals
9	578	Covariance function versus covariance matrix estimation in efficient semi-parametric regression for longitudinal data analysis	learning network image deep neural
9	579	Deep AI Enabled Ubiquitous Wireless Sensing: A Survey	learning network image deep neural
-1	580	Central actions of insulin during pregnancy and lactation.	health care study research used
17	581	Identification of Structural Factors that Affect Binding to Cannabinoid Receptor Type 1	opioid alcohol use cud oud
-1	582	Dynamic pattern selection in polymorphic elastocapillarity.	health care study research used
24	583	Lenvatinib plus Anti-PD-1 Combination Therapy for Advanced Cancers: Defining Mechanisms of Resistance in an Inducible Transgenic Model of Thyroid Cancer.	cell cells cancer tumor survival
10	584	Long-living excited states of a 2D diamagnetic exciton	quantum spin hamiltonian magnetic states
-1	585	Effects of modified sweet potato starch edible coating incorporated with cumin essential oil on storage quality of ‘early crisp’	health care study research used
21	586	Multi-Objective Optimal Operation of Centralized Battery Swap Charging System with Photovoltaic	power energy load voltage proposed
3	587	Anthocyanins are Key Regulators of Drought Stress Tolerance in Tobacco.	plant plants species isolates cultivars
-1	588	Understanding Gaps Between Daily Living and Clinical Settings in Chronic Disease Management: Qualitative Study.	health care study research used
9	589	Optimal Bayesian smoothing of functional observations over a large graph	learning network image deep neural
10	590	The quantum Hall effect in the absence of disorder	quantum spin hamiltonian magnetic states
16	591	Disentangling independent and mediated causal relationships between blood metabolites, cognitive factors, and Alzheimer’s Disease	pd ad cognitive alzheimer brain
21	592	Structural Scheduling of Transient Control Under Energy Storage Systems by Sparse-Promoting Reinforcement Learning	power energy load voltage proposed
24	593	Disseminated intravascular coagulation and its immune mechanisms.	cell cells cancer tumor survival
9	594	Spectral analysis of weighted Laplacians arising in data clustering	learning network image deep neural
-1	595	On the Optimal Design of a Bipartite Matching Queueing System	health care study research used
-1	596	Harnessing shear stress preconditioning to improve cell viability in 3D post-printed biostructures using extrusion bioprinting	health care study research used
24	597	Regulation of Circular RNA CircNFATC3 in Cancer Cells Alters Proliferation, Migration, and Oxidative Phosphorylation.	cell cells cancer tumor survival
30	598	Mining Network Traffic with the k -Means Clustering Algorithm for Stepping-Stone Intrusion Detection	security privacy computing attacks communication
16	599	Sex Differences in Alzheimer's Disease Revealed by Free-Water Diffusion Tensor Imaging and Voxel-Based Morphometry.	pd ad cognitive alzheimer brain
-1	600	Template-activated bifunctional soluble salt ZnCl2 assisted synthesis of coal-based hierarchical porous carbon for high-performance supercapacitors	health care study research used
4	601	Coping with poachers in European stalked barnacle fisheries: Insights from a stakeholder workshop	species fish fisheries marine diversity
38	602	Handbook of Research on Effective Online Language Teaching in a Disruptive Environment - Teaching Culture Online: Strategies to Develop the Cultures “C” in Asynchronous Learning Environments	students chapter jats education student
33	603	User Perceptions of Security and Privacy for Group Chat	privacy trust media influence marketing
-1	604	Quality of Life of Urolithiasis Patients During the COVID-19 Pandemic: A Multi-Institutional Cross-Sectional Study.	health care study research used
9	605	Is Image Encoding Beneficial for Deep Learning in Finance? An Analysis of Image Encoding Methods for the Application of Convolutional Neural Networks in Finance.	learning network image deep neural
12	606	Real World Incidence of Monofocal Toric IOL Repositioning: Analysis of the American Academy of Ophthalmology IRIS Registry.	retinal eye eyes vision oct
5	607	Extending a Linear Kernel-Driven BRDF Model to Realistically Simulate Reflectance Anisotropy Over Rugged Terrain	surface italic satellite ocean observations
31	608	The Geography of Sobriety Checkpoints and Alcohol-Impaired Driving.	transit traffic vehicle travel transportation
20	609	Anti-tRNA synthetase syndrome interstitial lung disease: A single center experience	lung copd asthma fibrosis airway
5	610	External Climate Change….. Internal Physiologic Evolution	surface italic satellite ocean observations
9	611	Differential viewpoints for ground terrain material recognition	learning network image deep neural
0	612	Gradient solitons on statistical manifolds	prove theorem vertex algebra graphs
-1	613	OPTN/SRTR 2019 Annual Data Report: Deceased Organ Donors.	health care study research used
26	614	Targeted isolation of panels of diverse human broadly neutralizing antibodies against SARS-like viruses	covid 19 sars cov infection
-1	615	Treatment Adherence and Persistence of Seven Commonly Prescribed Biologics for Moderate to Severe Psoriasis and Psoriatic Arthritis in a U.S. Commercially Insured Population.	health care study research used
-1	616	Work coping, stress appraisal, and psychological resilience: Reaction to the COVID-19 pandemic among health care providers	health care study research used
-1	617	Early Surgical Intervention in Amniotic Band Sequence for Upper Extremity Motor Nerve Palsies: A Case Report:	health care study research used
34	618	Supply Chain Coordination for E-Commerce: Risk Penalty vs. Flat Rate	marketing externality entry price consumer
4	619	Nonlethal stable isotope analysis reveals consistent trophic growth of juvenile Atlantic goliath grouper Epinephelus itajara in Brazilian estuaries	species fish fisheries marine diversity
25	620	Equalized Recovery State Estimators for Linear Systems With Delayed and Missing Observations	control optimization optimal problem tracking
20	621	Variants associated with HHIP expression have sex-differential effects on lung function.	lung copd asthma fibrosis airway
-1	622	Cardiac Rehabilitation and Resting Blood Pressure: MONTANA OUTCOMES PROJECT CARDIAC REHABILITATION REGISTRY FINDINGS.	health care study research used
-1	623	Role of MR Imaging in Head and Neck Squamous Cell Carcinoma.	health care study research used
16	624	APOE immunotherapy reduces cerebral amyloid angiopathy and amyloid plaques while improving cerebrovascular function	pd ad cognitive alzheimer brain
21	625	Experimental Validation of a Hybrid Storage Framework to Cope With Fluctuating Power of Hybrid Renewable Energy-Based Systems	power energy load voltage proposed
0	626	Complete logarithmic Sobolev inequalities via Ricci curvature bounded below	prove theorem vertex algebra graphs
0	627	The coalgebraic enrichment of algebras in higher categories	prove theorem vertex algebra graphs
-1	628	Using the Electronic Health Record to Enhance Care in Pediatric Rheumatology.	health care study research used
-1	629	Two New Neutrophil Subsets Define a Discriminating Sepsis Signature.	health care study research used
-1	630	Development of a Decision Support Tool for Inspection and Monitoring of Large-Diameter Steel and Prestressed Concrete Cylinder Water Pipes	health care study research used
-1	631	Pediatric Hip Disorders: Imaging Guidelines and Recommendations.	health care study research used
16	632	Interaural place-of-stimulation mismatch estimates using CT scans and binaural perception, but not pitch, are consistent in cochlear-implant users	pd ad cognitive alzheimer brain
3	633	Comparing the Fungicide Sensitivity of Sclerotinia sclerotiorum Using Mycelial Growth and Ascospore Germination Assays.	plant plants species isolates cultivars
10	634	Benchmarking Quantum Annealing Controls with Portfolio Optimization	quantum spin hamiltonian magnetic states
26	635	Predictive Value of Sequential Organ Failure Assessment Score across Patients with and without COVID-19 Infection.	covid 19 sars cov infection
3	636	Use of sodium hydroxide DNA extraction methods for nested PCR detection of Bretziella fagacearum in the sapwood of oak species in Minnesota	plant plants species isolates cultivars
-1	637	Propulsive performance and vortex wakes of multiple tandem foils pitching in-line	health care study research used
30	638	Mach-RT: A Many Chip Architecture for HighPerformance Ray Tracing.	security privacy computing attacks communication
24	639	Highly glycosylated MUC1 mediates high affinity L-selectin binding at the human endometrial surface	cell cells cancer tumor survival
26	640	Abstract SS2-04: Health maintenance and breast cancer screening during the COVID-19 pandemic	covid 19 sars cov infection
25	641	Optimal Control With Maximum Cost Performance Measure	control optimization optimal problem tracking
-1	642	Clinical subgroup clustering analysis in a systemic lupus erythematosus cohort from Western Pennsylvania.	health care study research used
38	643	Handbook of Research on Effective Online Language Teaching in a Disruptive Environment - Language Teachers' Sense of Efficacy During the COVID-19 Pandemic	students chapter jats education student
11	644	Integration of efficient microwave absorption and shielding in a multistage composite foam with progressive conductivity modular design.	films charge hydrogen materials electron
24	645	Graph Triple-Attention Network for Disease-related LncRNA Prediction.	cell cells cancer tumor survival
27	646	Medial Patellofemoral Ligament Reconstruction: Tips and Tricks to Get It Right.	knee oa rotation acl hip
16	647	Dietary lutein plus zeaxanthin and choline intake is interactively associated with cognitive flexibility in middle-adulthood in adults with overweight and obesity.	pd ad cognitive alzheimer brain
17	648	Hallucinogen Use and Misuse in Older Adults.	opioid alcohol use cud oud
-1	649	Medical Tourism Patient Mortality: Considerations From a 10-Year Review of Global News Media Representations	health care study research used
-1	650	Artisanal ceramic factories using wood combustion: A nanoparticles and human health study	health care study research used
36	651	The Past Is Prologue? Venture-Capital Syndicates’ Collaborative Experience and Start-Up Exits	innovation firm firms organizational entrepreneurs
5	652	Enhanced stratospheric intrusion at Lulin Mountain, Taiwan inferred from beryllium-7 activity	surface italic satellite ocean observations
-1	653	MNEs and the practice of international business diplomacy	health care study research used
-1	654	An iterative security game for computing robust and adaptive network flows	health care study research used
-1	655	Genomic diversity of Salmonella enterica -The UoWUCC 10K genomes project [version 2; peer review: 2 approved]	health care study research used
-1	656	Materializations of Populism in Today’s Politics: Global Perspectives	health care study research used
38	657	Nationalism and gender in the representation of non-Japanese characters’ speech in contemporary Japanese novels	students chapter jats education student
-1	658	Real and Perceived Discordance in Physicians and U.S. Adults' Beliefs Regarding the Causes and Controllability of Type 2 Diabetes.	health care study research used
-1	659	The Alter Program: A Nurse-Led, Dementia-Friendly Program for African American Faith Communities and Families Living With Dementia.	health care study research used
-1	660	Does the spatial distribution of social ties impact neighborhood and city attachment? Differentials among urban/rural contexts	health care study research used
-1	661	Graphene based hyperbolic metamaterial for tunable mid-infrared biosensing	health care study research used
27	662	Iliotibial Band Syndrome	knee oa rotation acl hip
7	663	Determination of Minimum Dynamic Modulus (E*) of High Modulus Asphalt Concrete Applied to Semirigid Base Asphalt Pavement	concrete asphalt seismic soil masonry
-1	664	A Case Study on Stochastic Games on Large Graphs in Mean Field and Sparse Regimes	health care study research used
-1	665	Risk of SARS-CoV2-related mortality in non-small cell lung cancer patients treated with first-line immunotherapy alone or in combination with chemotherapy.	health care study research used
23	666	Total Artificial Heart Computational Fluid Dynamics: Modeling of Stator Bore Design Effects on Journal-Bearing Performance.	pulmonary heart ventricular af ecmo
24	667	Targeting the Pro-survival Protein BCL-2 to Prevent Breast Cancer.	cell cells cancer tumor survival
24	668	Venetoclax plus bendamustine-rituximab or bendamustine-obinutuzumab in chronic lymphocytic leukemia: final results of a phase 1b study (GO28440).	cell cells cancer tumor survival
17	669	Presentation and Treatment of cholinergic Crisis in the setting of Carbamate poisoning	opioid alcohol use cud oud
